ID,NOM,NOM_M,INSEE_ARM,INSEE_COM,POPULATION,geometry
ARR_MUNI0000000009761162,Marseille 2e Arrondissement,MARSEILLE 2E ARRONDISSEMENT,13202,13055,23627,"MULTIPOLYGON (((5.362739596813875 43.30561057546627, 5.362119626398179 43.322059533318296, 5.341801538916863 43.33650254145955, 5.359093458925459 43.330463075511595, 5.374424050550529 43.29527573285798, 5.362739596813875 43.30561057546627)), ((5.318355609647745 43.347480799722966, 5.340144993397185 43.3356060135739, 5.351464617760801 43.32318367062024, 5.3615742450256265 43.30905054313246, 5.358296964519765 43.29919181724646, 5.318355609647745 43.347480799722966)))"
ARR_MUNI0000000009761158,Marseille 6e Arrondissement,MARSEILLE 6E ARRONDISSEMENT,13206,13055,39647,"POLYGON ((5.370973330022178 43.28923352028234, 5.381491768560184 43.296088588388976, 5.392740052472555 43.28311633092025, 5.373383109046784 43.279296340837064, 5.370973330022178 43.28923352028234))"
ARR_MUNI0000000009736035,Paris 11e Arrondissement,PARIS 11E ARRONDISSEMENT,75111,75056,142583,"POLYGON ((2.3793871708921897 48.85055512228694, 2.369123881441926 48.853166230578516, 2.363872116727158 48.86751628679774, 2.376904765014236 48.87204825944322, 2.3992456210516035 48.848765141781676, 2.3793871708921897 48.85055512228694))"
ARR_MUNI0000000009736040,Paris 18e Arrondissement,PARIS 18E ARRONDISSEMENT,75118,75056,188446,"POLYGON ((2.335171130235882 48.9011472414796, 2.370301804653316 48.90184790618168, 2.3717915558070946 48.895393251184544, 2.3274231357039343 48.8835078006174, 2.335171130235882 48.9011472414796))"
ARR_MUNI0000000009736042,Paris 10e Arrondissement,PARIS 10E ARRONDISSEMENT,75110,75056,83543,"POLYGON ((2.371045328493689 48.87000219880471, 2.3479182282125945 48.87068784518641, 2.349464985893749 48.88372492299804, 2.368674266549963 48.88397614416667, 2.371045328493689 48.87000219880471))"
ARR_MUNI0000000009736046,Paris 2e Arrondissement,PARIS 2E ARRONDISSEMENT,75102,75056,21119,"POLYGON ((2.3479182282125945 48.87068784518641, 2.3509551080413527 48.863401687516486, 2.3279993725028856 48.86992115311164, 2.3400411631952767 48.87197209943326, 2.3479182282125945 48.87068784518641))"
ARR_MUNI0000000009760874,Marseille 13e Arrondissement,MARSEILLE 13E ARRONDISSEMENT,13213,13055,92261,"POLYGON ((5.426051177802438 43.38338835484314, 5.440597526739112 43.39091969195, 5.45934690445538 43.370656229477994, 5.4502318535199406 43.339108795903314, 5.463489506302631 43.31890897782651, 5.393640028265479 43.31646403908486, 5.426051177802438 43.38338835484314))"
ARR_MUNI0000000009736045,Paris 3e Arrondissement,PARIS 3E ARRONDISSEMENT,75103,75056,32793,"POLYGON ((2.350164450262719 48.86198542308995, 2.3632904468148337 48.86781627185148, 2.3684908866827366 48.85580518577576, 2.3617677575116796 48.85724355062165, 2.350164450262719 48.86198542308995))"
ARR_MUNI0000000009736544,Paris 5e Arrondissement,PARIS 5E ARRONDISSEMENT,75105,75056,56841,"POLYGON ((2.361966407324183 48.840242273201355, 2.351870772035156 48.83680458563702, 2.336656991547952 48.83967110758742, 2.3446342970190934 48.85408864569453, 2.361966407324183 48.840242273201355))"
ARR_MUNI0000000009736540,Paris 15e Arrondissement,PARIS 15E ARRONDISSEMENT,75115,75056,227746,"POLYGON ((2.292292946367538 48.8271187994265, 2.2627915245265147 48.83392337352911, 2.289695682973307 48.858182880399525, 2.324641767064502 48.84362134268525, 2.292292946367538 48.8271187994265))"
ARR_MUNI0000000009752004,Lyon 3e Arrondissement,LYON 3E ARRONDISSEMENT,69383,69123,101302,"POLYGON ((4.876574043679668 45.75816824223254, 4.898395706878702 45.75291649126854, 4.891880371305783 45.73909953960648, 4.838560442462523 45.75673884268526, 4.876574043679668 45.75816824223254))"
ARR_MUNI0000000009751757,Lyon 6e Arrondissement,LYON 6E ARRONDISSEMENT,69386,69123,52007,"POLYGON ((4.868861023986859 45.76521219869347, 4.83994671694398 45.763553700194, 4.839624212058801 45.77284642184946, 4.859901586791564 45.78694379164061, 4.868861023986859 45.76521219869347))"
ARR_MUNI0000000009736047,Paris 1er Arrondissement,PARIS 1ER ARRONDISSEMENT,75101,75056,15919,"POLYGON ((2.325888016639641 48.86957652370996, 2.3279993725028856 48.86992115311164, 2.3509551080413527 48.863401687516486, 2.3446342970190934 48.85408864569453, 2.325888016639641 48.86957652370996))"
ARR_MUNI0000000009736545,Paris 4e Arrondissement,PARIS 4E ARRONDISSEMENT,75104,75056,28324,"POLYGON ((2.3689656690645533 48.85385160196693, 2.3644554356846004 48.846185908490625, 2.3446342970190934 48.85408864569453, 2.350164450262719 48.86198542308995, 2.3689656690645533 48.85385160196693))"
ARR_MUNI0000000009736543,Paris 6e Arrondissement,PARIS 6E ARRONDISSEMENT,75106,75056,40209,"POLYGON ((2.3304637073474455 48.85447336073335, 2.3446342970190934 48.85408864569453, 2.336656991547952 48.83967110758742, 2.3167125523210284 48.84686349108687, 2.3304637073474455 48.85447336073335))"
ARR_MUNI0000000009736531,Paris 13e Arrondissement,PARIS 13E ARRONDISSEMENT,75113,75056,178350,"POLYGON ((2.361745287380767 48.83994070615745, 2.36608772597324 48.844967843145106, 2.390072014511326 48.825692326824914, 2.3439025047441455 48.81576700130204, 2.3420855672543994 48.83834304473461, 2.361745287380767 48.83994070615745))"
ARR_MUNI0000000009736541,Paris 14e Arrondissement,PARIS 14E ARRONDISSEMENT,75114,75056,136368,"POLYGON ((2.334862059021432 48.84024662798033, 2.3439025047441455 48.81576700130204, 2.301315418488453 48.82512576084684, 2.324641767064502 48.84362134268525, 2.334862059021432 48.84024662798033))"
ARR_MUNI0000000009736033,Paris 20e Arrondissement,PARIS 20E ARRONDISSEMENT,75120,75056,189805,"POLYGON ((2.414701692063775 48.85870400054471, 2.415971110769568 48.846622956282296, 2.39912112864224 48.84809809563501, 2.376904765014236 48.87204825944322, 2.4108203191510635 48.87843617581535, 2.414701692063775 48.85870400054471))"
ARR_MUNI0000000009761160,Marseille 4e Arrondissement,MARSEILLE 4E ARRONDISSEMENT,13204,13055,50068,"POLYGON ((5.406741174562352 43.29550764059768, 5.389051692946799 43.298902455150746, 5.393184169153982 43.31640933191877, 5.410532162101707 43.31498171417461, 5.406741174562352 43.29550764059768))"
ARR_MUNI0000000009761163,Marseille 1er Arrondissement,MARSEILLE 1ER ARRONDISSEMENT,13201,13055,39436,"POLYGON ((5.385559858076158 43.29429161775234, 5.371606568210868 43.29938836469258, 5.3905008229715206 43.30939479632136, 5.394446066872718 43.30204280680456, 5.385559858076158 43.29429161775234))"
ARR_MUNI0000000009751759,Lyon 1er Arrondissement,LYON 1ER ARRONDISSEMENT,69381,69123,29016,"POLYGON ((4.839757825182551 45.766267988220456, 4.817515557552131 45.76703387961588, 4.812871856832102 45.77130328559548, 4.835161842324562 45.77552491722899, 4.839757825182551 45.766267988220456))"
